GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Math,org.apache.commons.math3.optim.nonlinear.scalar.gradient,NonLinearConjugateGradientOptimizer.IdentityPreconditioner,0,7,0,0,0,2,0,2,0,2
Apache Commons Math,org.apache.commons.math3.optim.nonlinear.scalar.gradient,NonLinearConjugateGradientOptimizer.Formula,5,33,0,0,0,3,1,3,1,3
Apache Commons Math,org.apache.commons.math3.optim.nonlinear.scalar.gradient,NonLinearConjugateGradientOptimizer.new Object() {...},2,17,0,0,0,1,0,1,0,1
Apache Commons Math,org.apache.commons.math3.optim.nonlinear.scalar.gradient,NonLinearConjugateGradientOptimizer,30,297,5,28,10,61,7,19,2,7
Apache Commons Math,org.apache.commons.math3.optim.nonlinear.scalar.gradient,NonLinearConjugateGradientOptimizer.BracketingStep,9,0,0,0,4,0,2,0,2,0
Apache Commons Math,org.apache.commons.math3.ml.neuralnet.sofm.util,QuasiSigmoidDecayFunction,0,83,0,6,0,18,0,5,0,2
Apache Commons Math,org.apache.commons.math3.ml.neuralnet.sofm.util,ExponentialDecayFunction,0,70,0,8,0,13,0,6,0,2
Apache Commons Math,org.apache.commons.math3.optimization.univariate,SimpleUnivariateValueChecker,6,67,2,8,3,16,3,6,1,3
Apache Commons Math,org.apache.commons.math3.optimization.univariate,BaseAbstractUnivariateOptimizer,8,94,2,2,2,27,2,11,0,11
Apache Commons Math,org.apache.commons.math3.optimization.univariate,UnivariatePointValuePair,0,15,0,0,0,6,0,3,0,3
Apache Commons Math,org.apache.commons.math3.optimization.univariate,BracketFinder,80,324,16,30,17,76,17,18,5,7
Apache Commons Math,org.apache.commons.math3.optimization.univariate,BrentOptimizer,23,470,5,69,6,116,5,37,0,5
Apache Commons Math,org.apache.commons.math3.optimization.univariate,UnivariateMultiStartOptimizer,24,134,4,10,5,28,6,9,2,6
Apache Commons Math,org.apache.commons.math3.optimization.univariate,UnivariateMultiStartOptimizer.new Comparator() {...},6,33,3,5,1,8,3,3,0,2
Apache Commons Math,org.apache.commons.math3.stat.regression,RegressionResults,174,314,28,30,34,53,28,18,4,13
Apache Commons Math,org.apache.commons.math3.stat.regression,GLSMultipleLinearRegression,21,95,0,2,3,21,1,7,1,6
Apache Commons Math,org.apache.commons.math3.stat.regression,OLSMultipleLinearRegression,0,221,0,12,0,43,0,18,0,12
Apache Commons Math,org.apache.commons.math3.stat.regression,MillerUpdatingRegression,512,2528,66,208,83,429,57,104,2,22
Apache Commons Math,org.apache.commons.math3.stat.regression,SimpleRegression,400,1183,44,80,51,180,33,61,2,30
Apache Commons Math,org.apache.commons.math3.stat.regression,AbstractMultipleLinearRegression,38,402,6,42,6,78,7,37,1,19
Apache Commons Math,org.apache.commons.math3.stat.regression,ModelSpecificationException,0,5,0,0,0,2,0,1,0,1
Apache Commons Math,org.apache.commons.math3.geometry.euclidean.oned,OrientedPoint,31,53,2,4,8,12,7,9,6,7
Apache Commons Math,org.apache.commons.math3.geometry.euclidean.oned,Vector1DFormat,15,77,1,3,4,19,2,9,1,8
Apache Commons Math,org.apache.commons.math3.geometry.euclidean.oned,Euclidean1D.LazyHolder,3,6,0,0,1,1,1,1,1,1
Apache Commons Math,org.apache.commons.math3.geometry.euclidean.oned,Vector1D,11,339,1,15,3,71,2,41,1,34
Apache Commons Math,org.apache.commons.math3.geometry.euclidean.oned,Euclidean1D,0,13,0,0,0,6,0,5,0,5
Apache Commons Math,org.apache.commons.math3.geometry.euclidean.oned,Euclidean1D.NoSubSpaceException,0,11,0,0,0,2,0,1,0,1
Apache Commons Math,org.apache.commons.math3.geometry.euclidean.oned,IntervalsSet,102,602,15,77,19,125,17,60,5,26
Apache Commons Math,org.apache.commons.math3.geometry.euclidean.oned,SubOrientedPoint,4,55,0,6,2,7,2,7,2,4
Apache Commons Math,org.apache.commons.math3.geometry.euclidean.oned,IntervalsSet.SubIntervalsIterator,8,162,1,21,2,34,2,14,1,4
Apache Commons Math,org.apache.commons.math3.geometry.euclidean.oned,Interval,12,63,0,8,4,13,4,10,4,6
Apache Commons Math,org.apache.commons.math3.optimization.linear,Relationship,8,60,0,3,1,11,2,6,2,4
Apache Commons Math,org.apache.commons.math3.optimization.linear,AbstractLinearOptimizer,7,58,1,1,1,19,1,10,0,10
Apache Commons Math,org.apache.commons.math3.optimization.linear,LinearConstraint,74,73,7,5,18,21,9,8,3,8
Apache Commons Math,org.apache.commons.math3.optimization.linear,SimplexSolver,0,342,0,54,0,82,0,34,0,7
Apache Commons Math,org.apache.commons.math3.optimization.linear,LinearObjectiveFunction,22,73,4,4,4,19,6,8,2,8
Apache Commons Math,org.apache.commons.math3.optimization.linear,UnboundedSolutionException,0,6,0,0,0,2,0,1,0,1
Apache Commons Math,org.apache.commons.math3.optimization.linear,SimplexTableau,49,1010,11,117,10,178,14,82,3,29
Apache Commons Math,org.apache.commons.math3.optimization.linear,Relationship.new Object() {...},2,17,0,0,0,1,0,1,0,1
Apache Commons Math,org.apache.commons.math3.optimization.linear,NoFeasibleSolutionException,0,6,0,0,0,2,0,1,0,1
Apache Commons Math,org.apache.commons.math3.util,OpenIntToDoubleHashMap,0,682,0,68,0,157,0,58,0,24
Apache Commons Math,org.apache.commons.math3.util,FastMath.CodyWaite,0,92,0,2,0,24,0,5,0,4
Apache Commons Math,org.apache.commons.math3.util,DefaultTransformer,2,44,0,6,1,12,1,6,1,3
Apache Commons Math,org.apache.commons.math3.util,FastMath.lnMant,3,3,0,0,1,2,1,1,1,1
Apache Commons Math,org.apache.commons.math3.util,Combinations.LexicographicIterator,12,181,3,15,4,38,4,9,1,3
Apache Commons Math,org.apache.commons.math3.util,Decimal64,58,613,2,12,11,86,11,67,9,62
Apache Commons Math,org.apache.commons.math3.util,ResizableDoubleArray,88,998,10,77,13,220,14,79,4,45
Apache Commons Math,org.apache.commons.math3.util,FastMath,187,8014,52,720,33,1431,45,417,2,71
